
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_lMtildestateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:    89811
Number of nonzeros in inequality constraint Jacobian.:       92
Number of nonzeros in Lagrangian Hessian.............:    39270

Reallocating memory for MA57: lfact (1621003)
Total number of variables............................:    19997
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    19997
                     variables with only upper bounds:        0
Total number of equality constraints.................:    15121
Total number of inequality constraints...............:       47
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:       47
        inequality constraints with only upper bounds:        0
  42 1.1937301e+000 4.14e+006 8.83e+008  -0.2 3.59e+000   3.5 1.92e-003 1.04e-003h  1
  43 1.1953683e+000 4.12e+006 8.78e+008  -0.2 2.50e+000   4.0 9.97e-003 5.80e-003h  1
  44 1.1978421e+000 4.02e+006 8.56e+008  -0.2 3.65e+000   3.5 6.91e-004 2.56e-002h  1
  45 1.1984387e+000 4.01e+006 8.53e+008  -0.2 2.32e+000   3.9 1.41e-002 2.52e-003h  1
  46 1.1984850e+000 4.00e+006 8.53e+008  -0.2 2.22e+000   3.4 8.54e-004 3.97e-004h  1
  47 1.1984970e+000 4.00e+006 8.53e+008  -0.2 4.84e+000   3.9 6.71e-003 6.05e-005h  1
  48 1.1989364e+000 3.98e+006 8.47e+008  -0.2 5.10e+000   3.4 5.96e-004 6.80e-003h  1
  49 1.2006909e+000 3.93e+006 8.38e+008  -0.2 5.12e+000   3.8 2.50e-003 1.11e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 1.2004234e+000 3.92e+006 8.35e+008  -0.2 4.60e+000   3.3 1.89e-003 3.74e-003h  1
  51 1.2005886e+000 3.91e+006 8.33e+008  -0.2 2.26e+000   3.8 1.67e-002 1.88e-003h  1
  52 1.2020921e+000 3.87e+006 8.24e+008  -0.2 2.28e+000   4.2 3.24e-003 1.12e-002h  1
  53 1.2032129e+000 3.71e+006 7.90e+008  -0.2 1.63e+000   3.7 1.54e-003 4.26e-002h  1
  54 1.2043901e+000 3.63e+006 7.73e+008  -0.2 3.58e-001   4.1 5.28e-002 2.07e-002h  1
  55 1.2011726e+000 3.47e+006 7.39e+008  -0.2 8.21e-001   3.7 1.43e-002 4.57e-002h  1
  56 1.2017458e+000 3.40e+006 7.25e+008  -0.2 3.48e-001   4.1 2.46e-001 1.94e-002h  1
  57 1.1917604e+000 2.90e+006 6.18e+008  -0.2 3.30e-001   3.6 2.70e-002 1.60e-001h  1
  58 1.1945345e+000 2.58e+006 5.50e+008  -0.2 2.45e-001   4.0 5.72e-001 1.16e-001h  1
  59 1.1957293e+000 2.09e+006 4.46e+008  -0.2 2.18e-001   3.6 2.19e-001 2.09e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 1.1983287e+000 1.82e+006 3.88e+008  -0.2 1.11e+000   3.1 1.59e-001 1.40e-001h  1
  61 1.2346509e+000 1.01e+006 2.15e+008  -0.2 2.09e-001   3.5 5.94e-002 5.90e-001h  1
  62 1.3064471e+000 5.75e+005 1.22e+008  -0.2 1.28e-001   3.0 4.63e-001 5.62e-001h  1
  63 1.4917373e+000 2.11e+005 4.50e+007  -0.2 1.85e-001   2.6 5.41e-001 1.00e+000f  1
  64 1.5737951e+000 7.78e+004 1.66e+007  -0.2 9.17e-002   3.0 8.73e-001 1.00e+000h  1
  65 1.6054845e+000 2.86e+004 6.10e+006  -0.2 8.65e-002   3.4 9.48e-001 1.00e+000h  1
  66 1.6832107e+000 1.05e+004 2.24e+006  -0.2 1.08e-001   2.9 5.51e-001 1.00e+000f  1
  67 1.8690154e+000 3.87e+003 8.25e+005  -0.2 1.86e-001   2.5 8.59e-001 1.00e+000f  1
  68 2.2638767e+000 1.42e+003 3.04e+005  -0.2 3.95e-001   2.0 1.00e+000 1.00e+000f  1
  69 3.0414188e+000 5.23e+002 1.12e+005  -0.2 7.78e-001   1.5 8.45e-001 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 3.2331168e+000 1.92e+002 4.10e+004  -0.4 2.12e-001   1.9 1.00e+000 1.00e+000f  1
  71 5.1774955e+000 1.25e+002 2.67e+004   0.6 4.57e+000   1.4 1.00e+000 4.26e-001f  1
  72 5.2633218e+000 9.95e+001 2.13e+004  -5.4 1.20e+000    -  1.31e-001 2.28e-001h  1
  73 5.3026578e+000 8.51e+001 1.82e+004  -5.5 3.77e+000    -  2.82e-002 1.56e-001h  1
  74 5.3130462e+000 8.10e+001 1.73e+004  -5.5 7.53e-001    -  3.06e-001 4.95e-002h  1
  75 5.5419531e+000 6.01e+001 1.29e+004  -0.6 3.32e+000    -  3.22e-001 2.97e-001f  1
  76 6.4127898e+000 5.21e+001 1.11e+004   0.2 6.52e+000    -  3.18e-001 1.43e-001f  1
  77 7.4245790e+000 3.53e+001 7.62e+003  -0.2 2.64e+000    -  9.93e-001 3.83e-001f  1
  78 7.7741212e+000 1.71e+001 1.38e+004  -0.5 4.99e-001   1.0 1.00e+000 7.00e-001f  1
  79 8.9494535e+000 1.34e+001 1.31e+004   0.9 4.92e+000   1.4 1.00e+000 2.39e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 1.8275176e+001 1.08e+001 6.80e+003   1.4 4.70e+001    -  2.87e-001 1.98e-001f  1
  81 4.3134190e+001 7.68e+000 4.97e+004   1.0 3.29e+001    -  9.94e-001 7.57e-001f  1
  82 8.2760924e+001 9.94e+000 1.59e+004   1.0 6.57e+001    -  4.73e-001 6.03e-001f  1
  83 1.0984515e+002 8.95e-001 5.81e+003   0.6 2.71e+001    -  1.00e+000 1.00e+000f  1
  84 1.1659937e+002 1.65e-001 1.83e+003   0.3 6.75e+000    -  1.00e+000 1.00e+000f  1
  85 8.9838348e+001 1.74e+000 2.04e+002  -0.3 2.68e+001    -  1.00e+000 1.00e+000f  1
  86 2.3336609e+001 1.38e+001 1.31e+001  -1.1 6.65e+001    -  9.95e-001 1.00e+000f  1
  87 2.3336608e-001 1.14e+001 3.06e+000  -1.7 2.74e+001    -  9.95e-001 8.44e-001f  1
  88 5.2738380e-001 4.30e+000 1.81e+001  -2.6 2.94e-001   0.9 9.98e-001 1.00e+000h  1
  89 2.5367923e+000 1.31e+000 5.60e+000  -2.7 2.04e+000   0.4 1.00e+000 9.84e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 3.7498079e+000 4.83e-002 1.12e+000  -2.4 1.21e+000  -0.0 1.00e+000 1.00e+000h  1
  91 3.6663117e+000 4.56e-003 5.13e-002  -3.6 8.35e-002  -0.5 1.00e+000 1.00e+000h  1
  92 3.4137330e+000 2.17e-002 2.59e-002  -4.6 2.53e-001  -1.0 1.00e+000 1.00e+000h  1
  93 2.7927361e+000 1.34e-001 2.70e-002  -5.1 6.21e-001  -1.5 1.00e+000 1.00e+000h  1
  94 1.6649567e+000 6.62e-001 2.77e-002  -4.1 1.18e+000  -1.9 1.00e+000 9.54e-001h  1
  95 1.1423983e+000 7.90e-001 1.57e-002  -4.2 1.12e+000  -2.4 1.00e+000 4.68e-001h  1
  96 8.5703744e-001 5.33e-001 4.12e-003  -4.2 2.85e-001  -2.0 1.00e+000 1.00e+000h  1
  97 4.0691429e-001 1.02e+000 7.29e-003  -4.7 4.50e-001  -2.5 1.00e+000 1.00e+000h  1
  98 3.6426306e-001 5.70e+000 8.90e-003  -4.4 2.88e-001  -2.9 1.00e+000 1.00e+000h  1
  99 4.9247438e-001 1.32e+000 3.20e-003  -4.2 1.53e-001  -3.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 3.1304876e-001 3.77e-001 5.84e-003  -5.1 1.79e-001  -3.0 9.96e-001 1.00e+000h  1
 101 3.2682503e-001 5.05e-001 1.16e-002  -4.6 1.67e-001  -3.5 1.00e+000 1.00e+000h  1
